test,requested rate (tps),succ,fail,send rate (tps),max latency (s),min latency (s),avg latency (s),throughput (tps)
logBeacons,975,1260,8532,948.0,60.85,0.37,35.91,139.5
logBeacons,1000,1103,8977,972.1,52.34,0.38,32.03,168.2
logBeacons,100,1025,31,106.0,3.83,0.26,1.04,82.5
logBeacons,10,192,0,19.3,0.64,0.26,0.45,18.8
logBeacons,110,1087,65,115.6,5.60,0.27,1.51,80.8
logBeacons,120,1172,76,125.5,5.91,0.27,1.69,90.3
logBeacons,130,1253,91,134.8,6.82,0.24,2.19,88.3
logBeacons,140,1335,105,144.6,7.65,0.25,2.59,91.1
logBeacons,150,1415,121,154.7,8.40,0.29,3.04,95.2
logBeacons,160,1477,155,163.7,9.03,0.24,3.10,99.4
logBeacons,170,1519,209,173.4,10.19,0.25,4.01,101.6
logBeacons,180,1523,301,183.2,10.93,0.26,4.35,104.9
logBeacons,190,1508,412,192.8,12.18,0.13,4.95,107.2
logBeacons,200,1537,479,202.8,12.12,0.12,5.05,109.4
logBeacons,20,288,0,29.0,0.64,0.27,0.46,28.2
logBeacons,210,1544,568,212.4,13.86,0.11,5.76,107.1
logBeacons,220,1559,649,222.3,14.16,0.11,5.87,112.8
logBeacons,230,1515,789,231.7,15.67,0.11,6.55,111.8
logBeacons,240,1529,871,241.2,15.90,0.07,6.85,116.5
logBeacons,250,1538,1054,251.1,17.24,0.06,7.31,113.7
logBeacons,260,1575,1113,260.1,18.13,0.06,7.67,118.1
logBeacons,270,1525,1259,270.1,18.59,0.07,8.27,121.2
logBeacons,280,1540,1340,280.3,19.76,0.05,8.76,120.8
logBeacons,290,1556,1420,289.7,20.58,0.06,8.84,120.5
logBeacons,300,1507,1565,298.9,21.95,0.07,9.52,119.8
logBeacons,30,384,0,38.7,0.63,0.29,0.46,37.5
logBeacons,310,1598,1570,308.8,21.16,0.08,9.10,126.1
logBeacons,320,1558,1706,317.2,23.75,0.08,10.44,120.8
logBeacons,330,1571,1789,327.7,24.11,0.07,10.78,120.4
logBeacons,340,1545,1911,338.0,24.31,0.08,10.78,124.3
logBeacons,350,1543,2009,346.9,27.14,0.07,12.06,116.0
logBeacons,360,1565,2083,357.0,26.41,0.07,11.52,123.1
logBeacons,370,1579,2165,366.3,27.67,0.08,12.33,122.2
logBeacons,380,1568,2272,377.8,29.48,0.10,13.26,116.8
logBeacons,390,1600,2336,386.3,28.50,0.09,12.85,124.4
logBeacons,400,1631,2401,395.3,29.02,0.09,13.10,125.1
logBeacons,40,480,0,48.2,0.63,0.25,0.44,46.9
logBeacons,425,1581,2739,418.8,31.68,0.11,14.31,125.5
logBeacons,450,1590,2922,442.7,33.69,0.11,15.49,122.3
logBeacons,475,1596,3204,467.0,36.75,0.13,16.91,122.0
logBeacons,500,1680,3408,490.4,37.92,0.10,17.98,125.0
logBeacons,50,576,0,58.0,0.65,0.27,0.46,56.3
logBeacons,525,1510,3770,515.4,39.87,0.13,19.14,124.9
logBeacons,550,1601,3967,539.0,43.30,0.15,20.51,121.7
logBeacons,575,1640,4120,562.6,43.87,0.15,20.94,123.7
logBeacons,600,1676,4372,588.7,44.98,0.20,21.71,127.5
logBeacons,60,672,0,67.7,0.64,0.29,0.46,65.7
logBeacons,625,1654,4682,612.1,46.22,0.19,22.15,130.1
logBeacons,650,1670,4858,635.2,47.83,0.21,23.31,129.6
logBeacons,675,1460,5356,660.3,52.21,0.22,26.24,125.8
logBeacons,700,1460,5548,682.4,51.26,0.22,27.44,131.1
logBeacons,70,768,0,77.1,0.65,0.26,0.45,75.1
logBeacons,725,1382,5914,706.0,48.02,0.26,28.09,145.3
logBeacons,750,1444,6140,732.8,52.64,0.27,28.86,138.5
logBeacons,775,1486,6290,734.1,55.55,0.28,29.94,135.1
logBeacons,800,1203,6861,775.8,56.44,0.24,28.27,132.1
logBeacons,80,853,11,86.7,2.00,0.25,0.56,74.2
logBeacons,825,1169,7087,800.0,60.45,0.28,27.06,118.3
logBeacons,850,1302,7242,828.6,56.42,0.35,31.25,146.7
logBeacons,875,1371,7461,853.3,59.62,0.32,33.77,133.3
logBeacons,900,1128,7896,872.4,56.17,0.26,29.34,146.4
logBeacons,90,935,25,96.5,2.83,0.28,0.73,77.6
logBeacons,925,1063,8249,900.2,56.65,0.35,28.45,133.2
logBeacons,950,1038,8466,917.9,60.23,0.24,30.83,143.5
logBeacons,975,1027,8765,941.0,60.30,0.28,30.75,144.6
